model_id,canonical_id,within_model_rank,mean_model_relative_probability
gpt2_2017,ai_literacy,1,0.676461148131967
gpt2_2017,attention_to_detail,14,0.2620526252470912
gpt2_2017,complaint_handling,10,0.33224228833743474
gpt2_2017,customer_service,6,0.4399762569740245
gpt2_2017,data_privacy,7,0.42070230958024596
gpt2_2017,guest_communication,12,0.3214746913703329
gpt2_2017,local_knowledge,8,0.4079769868920153
gpt2_2017,multitasking,3,0.50450208140308
gpt2_2017,payment_processing,11,0.3292044848818056
gpt2_2017,problem_solving,13,0.30064571991616384
gpt2_2017,record_keeping,4,0.46933880739147965
gpt2_2017,reservation_systems,2,0.5362960039456516
gpt2_2017,teamwork,5,0.4516242386790947
gpt2_2017,time_management,9,0.33896803542763654
llama3_8b_instruct_2023,ai_literacy,7,0.5408145249810618
llama3_8b_instruct_2023,attention_to_detail,11,0.38404488250933383
llama3_8b_instruct_2023,complaint_handling,6,0.5691886490799467
llama3_8b_instruct_2023,customer_service,2,0.6402626681237864
llama3_8b_instruct_2023,data_privacy,5,0.5730031730206243
llama3_8b_instruct_2023,guest_communication,1,0.8424321310209383
llama3_8b_instruct_2023,local_knowledge,3,0.633964348786346
llama3_8b_instruct_2023,multitasking,12,0.38145454847762483
llama3_8b_instruct_2023,payment_processing,13,0.3808543817309526
llama3_8b_instruct_2023,problem_solving,4,0.591745770457037
llama3_8b_instruct_2023,record_keeping,9,0.4540809861290727
llama3_8b_instruct_2023,reservation_systems,10,0.44843547824948166
llama3_8b_instruct_2023,teamwork,14,0.319797742770144
llama3_8b_instruct_2023,time_management,8,0.46470088349182365
